# darwin-4 canonical CPU baselines — the QUIET host (aarch64-darwin-4.lan, load ~1.1).
# min-of-5, cache-off (NIX_V3_NO_DISK_CACHE=1), user CPU seconds, byte-identical drvPaths.
# THE MEASUREMENT OF RECORD for CPU. The laptop is UNUSABLE for CPU levers: its
# ~5-10% noise floor exceeds the 3% keep-bar (proven 2026-06-19 — the attr-select
# IC measured −8% on the laptop at min-of-3 and REVERSED to +6% at min-of-5; on
# darwin-4 it is exactly 0.0%). All CPU grading MUST run here.
#
# CONVENTION (2026-06-20): every row is STAMPED with the commit it was measured
# at (last column) + the date.  Re-measure + re-stamp after any change that could
# move the eval hot path; a row whose `commit` is an ancestor of HEAD is STALE.
# The same numbers are also attached to the tested commit as a `git notes`
# (refs/notes/commits) entry — see `git notes show <commit>`.
#
# Key finding: the true v3-vs-TW gap is ~4.4-5.5× (LARGER + more uniform than the
# laptop's noisy 3.44×), byte-identical, and lives in the CORE EVAL LOOP
# (forceValue #1 leaf + callClosure + dispatchLoop) — systemic interpreter cost,
# not a hot-spot. See lode/V3_VS_TW_STRUCTURAL_ANALYSIS_2026-06-19.md.
#
# nixpkgs on darwin-4: hello-2.12.3, git-2.50.1, firefox-146.0.1; absolute times
# are darwin-4-specific — use for v3-vs-v3 A/Bs + the ratio, not cross-host compare.
# arena = NIX_V3_DIRECT_EVAL=1 NIX_VM_STATS=1 v3_arena MB (1 run; deterministic).
#
# 20758fad5 = colleague's env-sharing+interning+mapAttrs/force stack (default-on)
#   + this session's #60-66 (POS-3 fix, evac dedup, docs).  vs the 3ff650587 base
#   (pre-stack): CPU-NEUTRAL — hello 4.73 (=), git 4.42→4.45, firefox 5.45→5.50
#   (both within darwin-4 noise) → the whole stack did NOT regress raw eval CPU.
#
# row	v3_cpu	tw_cpu	ratio	arena_MB	impure	cache	commit	date
# L1 countDistinct memoize (55ba50216): byte-id, zero-mem; v3_cpu drops on
# chain-heavy workloads (memo-off == the prior 20758fad5 baseline):
#   hello 1.23->1.07 (-14.4%), git 1.47->1.27 (-14.8%), firefox 6.27->5.70 (-9.2%),
#   HNE 7.58->6.81 (-13.0%), M5 11.37->10.86 (-0.9%, few chains). arena unchanged.
hello	1.07	0.26	4.12	67.1	yes	off	55ba50216	2026-06-21
git	1.27	0.33	3.85	100.7	yes	off	55ba50216	2026-06-21
firefox	5.70	1.14	5.00	436.2	yes	off	55ba50216	2026-06-21
# big-workload rows (IFD built locally on aarch64-darwin; min-of-3 for M5 cost,
# min-of-5 for HNE). peak_rss: M5 3122MB (thunks 637MB dominant), HNE ~2055MB.
# RATIO TIGHTENS WITH SCALE: small ~4.4-5.5x -> HNE 4.92x (453MB) -> M5 3.18x (1543MB).
HNE	6.81	1.54	4.42	453.0	yes	off	55ba50216	2026-06-21
M5	10.86	3.57	3.04	1543.5	yes	off	55ba50216	2026-06-21
# synthetic v3-only rows below NOT re-measured at 20758fad5 — last at 3ff650587:
fib	2.29	NA	NA	NA	no	off	3ff650587	2026-06-19
attrNames	0.57	NA	NA	NA	yes	off	3ff650587	2026-06-19
# foldl: pending (ssh-quoting of the foldl' apostrophe; synthetic row, low priority)
# M5/cardano/HNE: IFD-blocked on aarch64 (cardano-node needs x86_64-linux IFD);
#   big-workload CPU+peak-RSS remain UNMEASURED until an x86_64-linux host builds.
